,names,links
1565,Melter ,https://www.marvel.com/characters/melter-christopher-colchiss
1566,Menace,https://www.marvel.com/characters/menace
1567,Mendel Stromm,https://www.marvel.com/characters/mendel-stromm
1568,Mendez,https://www.marvel.com/characters/mendez
1569,Mennonite,https://www.marvel.com/characters/mennonite
1570,Mentallo,https://www.marvel.com/characters/mentallo
1571,Mentor ,https://www.marvel.com/characters/mentor-alars
1572,Mentor ,https://www.marvel.com/characters/mentor-alien
1573,Mephista,https://www.marvel.com/characters/mephista
1574,Mephisto,https://www.marvel.com/characters/mephisto
1575,Meranno,https://www.marvel.com/characters/meranno
1576,Mercedes Merced,https://www.marvel.com/characters/mercedes-merced
1577,Mercedes Wilson,https://www.marvel.com/characters/mercedes-wilson
1578,Mercurio,https://www.marvel.com/characters/mercurio
1579,Mercury,https://www.marvel.com/characters/mercury
1580,Merlin,https://www.marvel.com/characters/merlin
1581,Merlin Demonspawn,https://www.marvel.com/characters/merlin-demonspawn
1582,Mesmero,https://www.marvel.com/characters/mesmero
1583,Mesmero ,https://www.marvel.com/characters/mesmero-earth-127
1584,Mesmero ,https://www.marvel.com/characters/mesmero-earth-5700
1585,Mesmero ,https://www.marvel.com/characters/mesmero-earth-653
1586,Mess,https://www.marvel.com/characters/mess
1587,Messiah ,https://www.marvel.com/characters/messiah-s-met-kth
1588,Metalhead ,https://www.marvel.com/characters/metalhead-earth-928
1589,Mettle ,https://www.marvel.com/characters/mettle-ken-mack
1590,Micro,https://www.marvel.com/characters/micro-david-lieberman
1591,Microbe ,https://www.marvel.com/characters/microbe-zach-smith
1592,Micromax,https://www.marvel.com/characters/micromax
1593,Midnight Man,https://www.marvel.com/characters/midnight-man-anton-mogart
1594,Midnight Sun,https://www.marvel.com/characters/midnight-sun
1595,Midwife,https://www.marvel.com/characters/midwife
1596,Miek,https://www.marvel.com/characters/miek
1597,Mikaboshi,https://www.marvel.com/characters/mikaboshi
1598,Millie The Model,https://www.marvel.com/characters/millie-the-model
1599,Mimic ,https://www.marvel.com/characters/mimic-calvin-rankin
1600,Mimic ,https://www.marvel.com/characters/mimic-earth-12
1601,Mimic ,https://www.marvel.com/characters/mimic-earth-5700
1602,Mimic ,https://www.marvel.com/characters/mimic-earth-58163
1603,Mimic ,https://www.marvel.com/characters/mimic-earth-6871
1604,Mimic ,https://www.marvel.com/characters/mimic-earth-956
1605,Mind-Wave,https://www.marvel.com/characters/mind-wave-erik-gelden
1606,Mindful One,https://www.marvel.com/characters/mindful-one
1607,Mindmeld,https://www.marvel.com/characters/mindmeld
1608,Mindstar,https://www.marvel.com/characters/mindstar
1609,Mindworm,https://www.marvel.com/characters/mindworm
1610,Minister Blood,https://www.marvel.com/characters/minister-blood
1611,Minn-Erva,https://www.marvel.com/characters/minn-erva
1612,Miracle Man,https://www.marvel.com/characters/miracle-man
1613,Mirage ,https://www.marvel.com/characters/mirage-marge
1614,Mirage ,https://www.marvel.com/characters/mirage-proto-husk
1615,Miriam Sharpe,https://www.marvel.com/characters/miriam-sharpe
1616,Miriam Sytsevich,https://www.marvel.com/characters/miriam-sytsevich
1617,Misfit,https://www.marvel.com/characters/misfit
1618,Miss Minutes,https://www.marvel.com/characters/miss-minutes
1619,Mister Eleven,https://www.marvel.com/characters/mister-eleven
1620,Mister Fantastic ,https://www.marvel.com/characters/mister-fantastic-2006-animated
1621,Mister Fantastic ,https://www.marvel.com/characters/mister-fantastic-mad-thinker-s-android
1622,Mister Fantastic,https://www.marvel.com/characters/mister-fantastic
1623,Mister Fantastic ,https://www.marvel.com/characters/mister-fantastic-ultimate
1624,Mister Fear ,https://www.marvel.com/characters/mister-fear-alan-fagan
1625,Mister Fear ,https://www.marvel.com/characters/mister-fear-larry-cranston
1626,Mister Gideon,https://www.marvel.com/characters/mister-gideon
1627,Mister Hyde,https://www.marvel.com/characters/mister-hyde
1628,Mister Immortal ,https://www.marvel.com/characters/mister-immortal-craig-hollis
1629,Mister M,https://www.marvel.com/characters/mister-m
1630,Mister Sensitive,https://www.marvel.com/characters/mister-sensitive
1631,Mister Sinister,https://www.marvel.com/characters/mister-sinister
1632,Mister Sinister ,https://www.marvel.com/characters/mister-sinister-earth-58163
1633,Mister X,https://www.marvel.com/characters/mister-x
1634,Mistress Love,https://www.marvel.com/characters/mistress-love
1635,Misty Knight,https://www.marvel.com/characters/misty-knight
1636,Mockingbird,https://www.marvel.com/characters/mockingbird
1637,Modred the Mystic,https://www.marvel.com/characters/modred-the-mystic
1638,Mogol,https://www.marvel.com/characters/mogol
1639,Moira Brandon,https://www.marvel.com/characters/moira-brandon
1640,Moira MacTaggert,https://www.marvel.com/characters/moira-mactaggert
1641,Moira MacTaggert ,https://www.marvel.com/characters/moira-mactaggert-ultimate
1642,Mojo,https://www.marvel.com/characters/mojo
1643,Mole Man,https://www.marvel.com/characters/mole-man
1644,Molecule Man,https://www.marvel.com/characters/molecule-man
1645,Molly Hayes,https://www.marvel.com/characters/molly-hayes-bruiser
1646,Moloka Dar,https://www.marvel.com/characters/moloka-dar
1647,Molten Man,https://www.marvel.com/characters/molten-man
1648,Monark Starstalker,https://www.marvel.com/characters/monark-starstalker
1649,Mondo ,https://www.marvel.com/characters/mondo-age-of-apocalypse
1650,Mongoose,https://www.marvel.com/characters/mongoose
1651,Monica Rambeau,https://www.marvel.com/characters/monica-rambeau
1652,Monica Rappaccini,https://www.marvel.com/characters/monica-rappaccini
1653,Monkey Joe,https://www.marvel.com/characters/monkey-joe
1654,Monocle,https://www.marvel.com/characters/monocle
1655,Monster From The Lost Lagoon,https://www.marvel.com/characters/monster-from-the-lost-lagoon
1656,Monstra,https://www.marvel.com/characters/monstra
1657,Moon Girl,https://www.marvel.com/characters/moon-girl-lunella-lafayette
1658,Moon Knight ,https://www.marvel.com/characters/moon-knight-earth-58163
1659,Moon Knight ,https://www.marvel.com/characters/moon-knight-marc-spector
1660,Moondancer,https://www.marvel.com/characters/moondancer
1661,Moondragon,https://www.marvel.com/characters/moondragon
1662,Moonstar ,https://www.marvel.com/characters/moonstar-age-of-apocalypse
1663,Moonstone ,https://www.marvel.com/characters/moonstone-karla-sofen
1664,Morass,https://www.marvel.com/characters/morass
1665,"Morbius, The Living Vampire",https://www.marvel.com/characters/morbius
1666,Morg,https://www.marvel.com/characters/morg
1667,Morgan le Fay,https://www.marvel.com/characters/morgan-le-fay
1668,Morlun,https://www.marvel.com/characters/morlun
1669,Morning Star,https://www.marvel.com/characters/morning-star
1670,Morph ,https://www.marvel.com/characters/morph-age-of-apocalypse
1671,Morph ,https://www.marvel.com/characters/morph-earth-1081
1672,Morph ,https://www.marvel.com/characters/morph-earth-58163
1673,Morphex,https://www.marvel.com/characters/morphex
1674,Morrat,https://www.marvel.com/characters/morrat
1675,Morris Walters,https://www.marvel.com/characters/morris-walters
1676,Morrow,https://www.marvel.com/characters/morrow
1677,Morwen,https://www.marvel.com/characters/morwen
1678,Moses Magnum,https://www.marvel.com/characters/moses-magnum
1679,Mosh ,https://www.marvel.com/characters/mosh-gilbert-lipchitz
1680,Mother Majowski,https://www.marvel.com/characters/mother-majowski
1681,Mother Night,https://www.marvel.com/characters/mother-night
1682,Motormouth,https://www.marvel.com/characters/motormouth
1683,Mountjoy,https://www.marvel.com/characters/mountjoy
1684,Mr. Brownstone,https://www.marvel.com/characters/mr-brownstone
1685,Mr. Frost,https://www.marvel.com/characters/mr-frost
1686,Mr. Negative,https://www.marvel.com/characters/mr-negative
1687,Ms. Marvel,https://www.marvel.com/characters/ms-marvel-kamala-khan
1688,Ms. Marvel ,https://www.marvel.com/characters/ms-marvel-sharon-ventura
1689,Mulholland,https://www.marvel.com/characters/mulholland
1690,Multiple Man,https://www.marvel.com/characters/multiple-man
1691,Muneeba Khan,https://www.marvel.com/characters/muneeba-khan
1692,Murderous Lion,https://www.marvel.com/characters/murderous-lion
1693,Mutant ,https://www.marvel.com/characters/mutant-earth-2992
